,bath,bed,isVavcantLand,price,sqft,zpid,address
127,1.0,2.0,True,10000000,970.0,63339625,5000-NW-Village-Park-Dr-Issaquah-WA-98027
128,2.0,2.0,False,225000,874.0,49111831,5000-NW-Village-Park-Dr-APT-D124-Issaquah-WA-98027
129,2.0,2.0,False,235000,874.0,65222787,2173-NW-Far-Country-Ln-Issaquah-WA-98027
130,2.5,4.0,False,650000,2610.0,48774897,5204-NW-Sammamish-Rd-Issaquah-WA-98027
131,4.1,5.0,False,40000000,5670.0,80261330,2319-NE-Park-Dr-Issaquah-WA-98029
132,3.0,2.0,False,460000,1673.0,63336338,3121-NE-Norton-Ln-Issaquah-WA-98029
133,2.5,4.0,False,715000,2517.0,96678852,3065-NE-Harrison-Dr-Issaquah-WA-98029
134,,,True,420000,,48686835,18813-SE-May-Valley-Rd-Issaquah-WA-98027
136,1.0,1.0,False,179000,640.0,2101689115,1446-14th-Pl-NE-Issaquah-WA-98029
137,4.0,4.0,False,10500000,3753.0,2101689635,23818-SE-45th-St-LOT-43-Issaquah-WA-98029
138,2.5,4.0,False,783000,2223.0,48739354,13030-Issaquah-Hobart-Rd-SE-Issaquah-WA-98027
139,1.5,2.0,False,429000,1420.0,48968568,25270-SE-Mirrormont-Way-Issaquah-WA-98027
140,2.5,3.0,False,469000,1451.0,2101718530,23824-SE-45th-St-LOT-42-Issaquah-WA-98029
142,3.0,5.0,False,561000,2620.0,2101726012,12-Xxx-Se-128th-Way-Issaquah-WA-98027
143,,0.0,True,300000,,48821099,23426-SE-160TH-Pl-Issaquah-WA-98027
144,3.0,4.0,False,675000,3370.0,2101738341,1736-10th-Ave-NE-C-113-Issaquah-WA-98029
145,2.0,3.0,False,285000,1147.0,48666859,10511-238th-Way-SE-Issaquah-WA-98027
146,2.0,3.0,False,375000,2130.0,68474747,27537-SE-28th-Ct-Sammamish-WA-98075
148,2.0,2.0,False,231000,942.0,65221627,6505-282nd-Ave-SE-Issaquah-WA-98027
149,3.0,4.0,False,888000,5030.0,48821135,23724-SE-170th-St-Maple-Valley-WA-98038
150,3.0,2.0,False,13000000,3650.0,70583759,22717-SE-49th-Pl-Issaquah-WA-98029
151,4.25,6.0,False,895000,4758.0,59698608,23420-SE-Black-Nugget-Rd-UNIT-D302-Issaquah-WA-98029
152,2.0,2.0,False,290000,1153.0,2146017329,23757-SE-52nd-Ln-Issaquah-WA-98029
153,2.0,2.0,False,290000,1037.0,2101798968,24823-SE-Mirrormont-Blvd-Issaquah-WA-98027
154,,,True,130000,,48980635,455-Newport-Way-NW-APT-304-Issaquah-WA-98027
155,2.0,3.0,False,205000,1018.0,2106916779,23200-SE-58th-St-Issaquah-WA-98029
156,,0.0,True,299000,,48903903,4312-246th-Pl-SE-Issaquah-WA-98029
157,2.5,4.0,False,800000,2260.0,49085125,20911-SE-138th-Pl-Issaquah-WA-98027
158,3.0,4.0,False,650000,3200.0,52643983,18501-SE-Newport-Way-UNIT-M154-Issaquah-WA-98027
159,2.0,2.0,False,242000,910.0,49111836,5000-NW-Village-Park-Dr-APT-E126-Issaquah-WA-98027
160,1.0,1.0,False,185000,640.0,48970568,18451-NW-Village-Park-Dr-Issaquah-WA-98027
162,1.0,1.0,False,199000,653.0,96662056,11315-207th-Ave-SE-Issaquah-WA-98027
163,3.0,4.0,False,799000,4620.0,48746362,13759-223rd-Ave-SE-Issaquah-WA-98027
164,2.5,4.0,False,10500000,4640.0,48730809,25521-SE-Issaquah-Fall-City-Rd-Issaquah-WA-98029
165,2.0,3.0,False,400000,1530.0,48666949,10912-329th-Ct-SE-Issaquah-WA-98027
167,2.5,2.0,False,466000,1600.0,48792647,25045-SE-Old-Black-Nugget-Rd-Issaquah-WA-98029
168,,,True,585000,,54410571,23300-SE-Black-Nugget-Rd-UNIT-C3-Issaquah-WA-98029
169,2.5,2.0,False,349000,1065.0,48797676,27501-SE-154th-Pl-Issaquah-WA-98027
170,3.0,4.0,False,850000,2635.0,2101993555,229-SE-146th-St-Issaquah-WA-98027
171,,,True,260000,,48797738,26609-SE-146th-St-Issaquah-WA-98027
172,4.0,4.0,False,875000,3821.0,67683188,1756-24th-Ave-NE-Issaquah-WA-98029
173,2.5,3.0,False,420000,1480.0,49142919,390-Datewood-Ct-NW-Issaquah-WA-98027
174,3.5,5.0,False,12000000,3750.0,68478636,18707-SE-Newport-Way-APT-305-Issaquah-WA-98027
175,2.0,2.0,False,345000,1186.0,96663637,27133-SE-Grand-Ridge-Dr-Issaquah-WA-98029
176,5.0,5.0,False,31900000,5900.0,48886241,580-Front-St-S-UNIT-A303-Issaquah-WA-98027
177,2.0,2.0,False,240000,1005.0,48886244,580-Front-St-S-UNIT-B304-Issaquah-WA-98027
178,1.0,1.0,False,175000,750.0,48767979,18701-SE-60th-St-Issaquah-WA-98027
179,4.0,5.0,False,898000,4380.0,49133870,790-Highwood-Dr-SW-Issaquah-WA-98027
180,2.0,3.0,False,500000,1810.0,2102103957,00-Xxx-Issaquah-WA-98027
181,,,True,219000,,48859736,22484-SE-38th-Ter-2348-Issaquah-WA-98029
182,1.75,2.0,False,380000,1350.0,48797768,15024-260th-Ave-SE-Issaquah-WA-98027
183,2.5,4.0,False,890000,3610.0,2102187490,93-240th-Ave-SE-Issaquah-WA-98027
184,,,True,270000,,48769513,9330-240th-Ave-SE-Issaquah-WA-98027
185,4.0,3.0,False,840000,4830.0,48837655,1760-Newport-Way-NW-Issaquah-WA-98027
186,1.0,3.0,False,445000,1100.0,55467991,1000-Cabin-Creek-Ln-SW-APT-B204-Issaquah-WA-98027
187,2.0,2.0,False,319000,1109.0,2102207819,19218-SE-May-Valley-Rd-Issaquah-WA-98027
188,,,True,175000,,48686805,19212-SE-May-Valley-Rd-Issaquah-WA-98027
189,2.75,3.0,False,575000,3110.0,49042989,4707-W-Lake-Sammamish-Pkwy-SE-APT-D306-Issaquah-WA-98027
190,1.75,3.0,False,250000,1134.0,48905147,24923-SE-42nd-Dr-Issaquah-WA-98029
191,2.75,4.0,False,650000,1890.0,48861924,10-Mt-Quay-Dr-NW-Issaquah-WA-98027
192,5.0,5.0,False,15800000,6530.0,48903892,24647-SE-44th-St-Issaquah-WA-98029
193,3.5,5.0,False,10500000,3890.0,48842256,28525-SE-Preston-Way-Issaquah-WA-98027
194,3.5,4.0,False,899000,3840.0,48797699,26012-SE-152nd-St-Issaquah-WA-98027
196,3.25,4.0,False,11900000,4580.0,121901692,935-Pine-Crest-Cir-NE-Issaquah-WA-98029
197,3.5,4.0,False,10200000,3811.0,2102566023,4142-248th-Ct-SE-Issaquah-WA-98029
198,1.0,2.0,False,300000,1151.0,66650234,2738-NE-Magnolia-St-Issaquah-WA-98029
199,2.5,4.0,False,525000,1868.0,48794463,310-SE-Darst-St-Issaquah-WA-98027
200,2.0,3.0,False,449000,1260.0,2102596781,75-Preston-Fall-City-Rd-Preston-WA-98050
201,,,True,85000,,96691690,7639-Preston-fall-City-Rd-SE-Preston-WA-98050
202,,0.0,True,75000,,2119412177,5750-290th-Ave-SE-LOT-B-Issaquah-WA-98027
203,,0.0,True,230000,331056.0,2119412175,29280-SE-64th-St-LOT-E-Issaquah-WA-98027
204,,0.0,True,405000,220414.0,2119412178,29799-SE-51st-St-LOT-A-Issaquah-WA-98024
205,,0.0,True,315000,267894.0,2119412176,29398-SE-64th-St-LOT-C-Issaquah-WA-98027
206,,0.0,True,405000,304920.0,48794392,60-SE-Bush-St-Issaquah-WA-98027
207,2.0,2.0,False,699000,1810.0,2102691493,1670-Pine-View-Dr-NW-LOT31-Issaquah-WA-98027
208,4.25,5.0,False,16800000,4510.0,116542855,1620-14th-Pl-NE-Issaquah-WA-98029
209,2.5,3.0,False,746000,1800.0,96673041,2541-NW-Alpine-Crest-Way-Issaquah-WA-98027
210,2.5,3.0,False,743000,2324.0,2102828381,88-Xx-314th-Ave-SE-Issaquah-WA-98027
211,,0.0,True,500000,653836.0,63334175,3026-277th-Pl-SE-Sammamish-WA-98075
213,2.5,3.0,False,716000,2990.0,121902590,981-Pine-Crest-Cir-NE-Issaquah-WA-98029
214,3.5,4.0,False,10000000,3811.0,2102980523,981-Pine-Crest-Cir-NE-LOT-45-Issaquah-WA-98029
215,3.5,4.0,False,10000000,3811.0,70582329,3566-NE-Harrison-Dr-Issaquah-WA-98029
216,,0.0,True,207000,,48970421,18106-NW-Montreux-Dr-Issaquah-WA-98027
217,4.0,5.0,False,13000000,4400.0,49079958,24717-SE-45th-Pl-Issaquah-WA-98029
218,2.5,3.0,False,700000,2075.0,70578752,2635-NE-Jared-Ct-Issaquah-WA-98029
219,1.5,2.0,False,425000,1050.0,67683724,27518-SE-28th-Pl-Sammamish-WA-98075
220,4.5,4.0,False,855000,3800.0,96711638,15458-256TH-Ave-SE-Issaquah-WA-98027
221,,0.0,True,160000,,2103448961,273-SE-162nd-Pl-Issaquah-WA-98027
222,,,True,145000,,121901472,1411-Pine-Crest-Cir-NE-Issaquah-WA-98029
224,2.25,5.0,False,489000,2180.0,49092457,14528-274th-Ave-SE-Issaquah-WA-98027
225,4.0,5.0,False,675000,4130.0,96678414,6819-277TH-Way-SE-Issaquah-WA-98027
226,,0.0,True,295000,,96661424,545-SW-Ellerwood-St-Issaquah-WA-98027
227,,0.0,True,125000,,84761099,927-4th-Ave-NE-Issaquah-WA-98029
228,2.5,3.0,False,535000,1810.0,49079990,4421-244th-Pl-SE-Issaquah-WA-98029
229,2.5,4.0,False,750000,2788.0,2103968286,27211-SE-Grand-Ridge-Dr-Issaquah-WA-98029
230,,0.0,True,415000,,2103968280,27232-SE-Grand-Ridge-Dr-Issaquah-WA-98029
231,,0.0,True,475000,,2103968285,27109-SE-Grand-Ridge-Dr-Issaquah-WA-98029
232,,0.0,True,450000,,2103968284,27224-SE-Grand-Ridge-Dr-Issaquah-WA-98029
233,,0.0,True,475000,,2103968281,27235-SE-Grand-Ridge-Dr-Issaquah-WA-98029
234,,0.0,True,425000,,2103968290,27227-SE-Grand-Ridge-Dr-Issaquah-WA-98029
235,,0.0,True,425000,,2107727226,27142-SE-Grand-Ridge-Dr-Issaquah-WA-98029
236,,0.0,True,415000,,2103968283,27219-SE-Grand-Ridge-Dr-Issaquah-WA-98029
237,,0.0,True,435000,,2104112797,206-Mountain-Park-Blvd-SW-B-103-Issaquah-WA-98027
238,1.75,3.0,False,170000,1262.0,96701142,25780-SE-138TH-St-Issaquah-WA-98027
240,2.0,3.0,False,458000,2000.0,2104631233,243-Issaquah-Hobart-Rd-SE-Issaquah-WA-98027
241,,,True,85000,,61766619,1848-NE-Kenyon-Ct-Issaquah-WA-98029
242,3.0,3.0,False,353000,1420.0,2104955370,10700-Upper-Preston-Rd-SE-Issaquah-WA-98027
243,,0.0,True,60000,,80260381,1725-25th-Walk-NE-Issaquah-WA-98029
244,2.5,3.0,False,645000,2126.0,2105062555,945-Pine-Crest-Cir-NE-Issaquah-WA-98029
245,3.5,4.0,False,10000000,3811.0,117488031,1617-14th-Pl-NE-Issaquah-WA-98029
