,_id,city,latitude,longitude,state,street,zipcode,appliances,architecture,basement,bathrooms,bedrooms,coolingsystem,coveredparkingspaces,exteriormaterial,finishedsqft,floorcovering,floornumber,heatingsources,heatingsystem,lotsizesqft,numfloors,numrooms,numunits,parkingtype,roof,rooms,usecode,view,yearbuilt,yearupdated,elementaryschool,highschool,homedescription,images_count,images_image,links_homedetails,links_homeinfo,links_photogallery,middleschool,neighborhood,pageviewcount_currentmonth,pageviewcount_total,agentname,agentprofileurl,externalurl,lastupdateddate,mls,openhousedates,status,type,price,schooldistrict,trans_desc,trans_score,trans_summary,walkscore_desc,walkscore_score,whatownerloves,zpid
0,55f842bb3ae7404f74f89baf,Sunnyvale,37.36086,-122.054546,CA,1058 Lois Ave,94087,,,,4.0,6,,,,2930,,,,,6098,,12,,,,,SingleFamily,,1953,,,,,1,http://photos1.zillowstatic.com/p_d/ISpp8hzpjqwwcm1000000000.jpg,http://www.zillow.com/homedetails/1058-Lois-Ave-Sunnyvale-CA-94087/19537840_zpid/,http://www.zillow.com/homedetails/1058-Lois-Ave-Sunnyvale-CA-94087/19537840_zpid/,http://www.zillow.com/homedetails/1058-Lois-Ave-Sunnyvale-CA-94087/19537840_zpid/#image=lightbox%3Dtrue,,Sunnyvale,15548,15548,,,,,,,,,,Fremont Union High,Some Transit,34,"6 nearby routes: 6 bus, 0 rail, 0 other",Car-Dependent,24,,19537840
1,55f842bb3ae7404f74f89bb1,Sunnyvale,37.385314,-122.04329,CA,994 La Mesa Ter UNIT G,94086,,,,2.5,3,,,,2082,,,,,2375,,8,,,,,Condominium,,1985,,,,,1,http://photos3.zillowstatic.com/p_d/ISt04o7zga3bfa1000000000.jpg,http://www.zillow.com/homedetails/994-La-Mesa-Ter-UNIT-G-Sunnyvale-CA-94086/19521633_zpid/,http://www.zillow.com/homedetails/994-La-Mesa-Ter-UNIT-G-Sunnyvale-CA-94086/19521633_zpid/,http://www.zillow.com/homedetails/994-La-Mesa-Ter-UNIT-G-Sunnyvale-CA-94086/19521633_zpid/#image=lightbox%3Dtrue,,,783,783,,,,,,,,,,,Some Transit,36,"9 nearby routes: 5 bus, 4 rail, 0 other",Car-Dependent,49,,19521633
2,55f842bb3ae7404f74f89bb3,Sunnyvale,37.350976,-122.006338,CA,1005 Bryant Way APT L,94087,,,,2.5,3,,,,1552,,,,,3500,,6,,,,,Condominium,,1974,,,,,1,http://photos1.zillowstatic.com/p_d/IS1rxe3qhrjiku1000000000.jpg,http://www.zillow.com/homedetails/1005-Bryant-Way-APT-L-Sunnyvale-CA-94087/19617959_zpid/,http://www.zillow.com/homedetails/1005-Bryant-Way-APT-L-Sunnyvale-CA-94087/19617959_zpid/,http://www.zillow.com/homedetails/1005-Bryant-Way-APT-L-Sunnyvale-CA-94087/19617959_zpid/#image=lightbox%3Dtrue,,,1116,1116,,,,,,,,,,,Some Transit,43,"4 nearby routes: 4 bus, 0 rail, 0 other",Very Walkable,77,,19617959
3,55f842bb3ae7404f74f89bb5,Sunnyvale,37.371456,-122.056001,CA,1175 Andover Dr,94087,,,,2.0,3,,,,1240,,,,,7875,,6,,,,,SingleFamily,,1955,,,,,1,http://photos3.zillowstatic.com/p_d/IShzqn5wrxprfa1000000000.jpg,http://www.zillow.com/homedetails/1175-Andover-Dr-Sunnyvale-CA-94087/19537196_zpid/,http://www.zillow.com/homedetails/1175-Andover-Dr-Sunnyvale-CA-94087/19537196_zpid/,http://www.zillow.com/homedetails/1175-Andover-Dr-Sunnyvale-CA-94087/19537196_zpid/#image=lightbox%3Dtrue,,,535,535,,,,,,,,,,,Some Transit,43,"4 nearby routes: 4 bus, 0 rail, 0 other",Somewhat Walkable,62,,19537196
4,55f842bb3ae7404f74f89bb9,Sunnyvale,37.403641,-122.011927,CA,1148 La Rochelle Ter UNIT B,94089,,,,2.5,3,,,,2013,,,,,2450,,7,,,,,Condominium,,1995,,,,,1,http://photos3.zillowstatic.com/p_d/IS5ihbws4w9tst1000000000.jpg,http://www.zillow.com/homedetails/1148-La-Rochelle-Ter-UNIT-B-Sunnyvale-CA-94089/19494162_zpid/,http://www.zillow.com/homedetails/1148-La-Rochelle-Ter-UNIT-B-Sunnyvale-CA-94089/19494162_zpid/,http://www.zillow.com/homedetails/1148-La-Rochelle-Ter-UNIT-B-Sunnyvale-CA-94089/19494162_zpid/#image=lightbox%3Dtrue,,,198,198,,,,,,,,,,,Some Transit,46,"11 nearby routes: 10 bus, 1 rail, 0 other",Somewhat Walkable,54,,19494162
5,55f6e8a63ae7404c5edef1e6,Alameda,37.77089,-122.267093,CA,1046 Central Ave,94501,,,,2.0,3,,,,1231,,,,,4356,,7,,,,,SingleFamily,,1895,,,,"This Victorian gem exudes charm w/high ceilings, gleaming inlaid hdw floors & beautiful period woodwork. Features include a refreshed sunny eat-in kitchen, formal dining room, parlor & picturesque window overlooking deck & landscaped yard w/veggies & fruit trees.  Bonus rooms & ample garage space.",30,None,http://www.zillow.com/homedetails/1046-Central-Ave-Alameda-CA-94501/24862982_zpid/,http://www.zillow.com/homedetails/1046-Central-Ave-Alameda-CA-94501/24862982_zpid/,http://www.zillow.com/homedetails/1046-Central-Ave-Alameda-CA-94501/24862982_zpid/#image=lightbox%3Dtrue,,,3490,3490,,,,,,,,,,,Some Transit,45,"7 nearby routes: 7 bus, 0 rail, 0 other",Very Walkable,77,,24862982
6,55f6e8a63ae7404c5edef1e7,Alameda,37.774675,-122.252674,CA,1724 Eagle Ave,94501,,,,1.5,2,,,,1585,,,,,3875,,6,,,,,SingleFamily,,1896,,,,,1,http://photos2.zillowstatic.com/p_d/ISpdvqwf6pi0nz0000000000.jpg,http://www.zillow.com/homedetails/1724-Eagle-Ave-Alameda-CA-94501/24861179_zpid/,http://www.zillow.com/homedetails/1724-Eagle-Ave-Alameda-CA-94501/24861179_zpid/,http://www.zillow.com/homedetails/1724-Eagle-Ave-Alameda-CA-94501/24861179_zpid/#image=lightbox%3Dtrue,,,931,931,,,,,,,,,,,Some Transit,41,"8 nearby routes: 8 bus, 0 rail, 0 other",Somewhat Walkable,61,,24861179
7,55f6e8a63ae7404c5edef1e8,Alameda,37.783418,-122.283656,CA,2378 Coral Sea St,94501,,,,2.5,4,,,,2925,,,,,3760,,9,,,,,SingleFamily,,2006,,,,,1,http://photos3.zillowstatic.com/p_d/IS-1dw3rvcydg76l.jpg,http://www.zillow.com/homedetails/2378-Coral-Sea-St-Alameda-CA-94501/72700378_zpid/,http://www.zillow.com/homedetails/2378-Coral-Sea-St-Alameda-CA-94501/72700378_zpid/,http://www.zillow.com/homedetails/2378-Coral-Sea-St-Alameda-CA-94501/72700378_zpid/#image=lightbox%3Dtrue,,,1372,1372,,,,,,,,,,,Some Transit,45,"8 nearby routes: 7 bus, 0 rail, 1 other",Somewhat Walkable,65,,72700378
8,55f6e8a63ae7404c5edef1eb,Alameda,37.731057,-122.236334,CA,1088 Melrose Ave,94502,Dishwasher,Contemporary,None,2.5,3,,2,Wood,1716,Carpet,,Electric,Forced air,,2,7,,Garage - Detached,Composition,Dining room,Townhouse,Park,1974,2013,Amelia Earheart ,Alameda High School,"This recently remodeled town home is situated in a quiet Harbor Bay community that is walking distance from shops, restaurants and the San Francisco ferry and Google/Apple shuttle buses. As you make your way through the foyer, you enter a spacious living room/dining room that leads you past a beautiful  recently updated gourmet kitchen. Continue into the comfortable sun-filled family room, settle down in an overstuffed armchair and just relax! Features include three bedrooms, two-and-a-half bathrooms, hardwood floors, a fireplace and an in-unit laundry room. The complex also offers a swimming pool and a clubhouse and RV parking.",30,None,http://www.zillow.com/homedetails/1088-Melrose-Ave-Alameda-CA-94502/24867075_zpid/,http://www.zillow.com/homedetails/1088-Melrose-Ave-Alameda-CA-94502/24867075_zpid/,http://www.zillow.com/homedetails/1088-Melrose-Ave-Alameda-CA-94502/24867075_zpid/#image=lightbox%3Dtrue,Lincoln Middle School,Bay Farm,2418,2418,Kate McCaffrey,http://www.zillow.com/profile/KateMcCaffrey/,http://www.1088Melrose.com,2015-09-10 14:33:00.0,40714911,None,Active,For sale by agent,649000,Alameda Unified School District,Some Transit,28,"2 nearby routes: 2 bus, 0 rail, 0 other",Car-Dependent,39,"Completely renovated townhome with gorgeous finishes and updates throughout.  Kitchen/family room combo faces out to the backyard with lush landscaping surrounding the patio. Spacious master suite with dual closets (and closet organizing systems) and spa-like master bathroom retreat. Master could be divided into two rooms creating a 4th bedroom. Bight, sunny bedrooms with new paint and crown molding. Ample storage throughout house and two car garage.",24867075
9,55f6e8a63ae7404c5edef1ec,Alameda,37.780652,-122.282536,CA,2118 Chipman St,94501,,,,2.5,3,,,,2361,,,,,2982,,9,,,,,SingleFamily,,2004,,,,,1,http://photos1.zillowstatic.com/p_d/IS-1dtph7c0xhw0t.jpg,http://www.zillow.com/homedetails/2118-Chipman-St-Alameda-CA-94501/64964577_zpid/,http://www.zillow.com/homedetails/2118-Chipman-St-Alameda-CA-94501/64964577_zpid/,http://www.zillow.com/homedetails/2118-Chipman-St-Alameda-CA-94501/64964577_zpid/#image=lightbox%3Dtrue,,,1774,1774,,,,,,,,,,,Some Transit,45,"8 nearby routes: 7 bus, 0 rail, 1 other",Somewhat Walkable,62,,64964577
10,55f6e8a63ae7404c5edef1ed,Alameda,37.7833,-122.28886,CA,2361 Tuttle Ln,94501,,,,3.5,3,,,,3453,,,,,5185,,10,,,,,SingleFamily,,2007,,,,,1,http://photos2.zillowstatic.com/p_d/IS-1dx2wwl1f0uhp.jpg,http://www.zillow.com/homedetails/2361-Tuttle-Ln-Alameda-CA-94501/82850279_zpid/,http://www.zillow.com/homedetails/2361-Tuttle-Ln-Alameda-CA-94501/82850279_zpid/,http://www.zillow.com/homedetails/2361-Tuttle-Ln-Alameda-CA-94501/82850279_zpid/#image=lightbox%3Dtrue,,,1822,1822,,,,,,,,,,,Some Transit,29,"2 nearby routes: 1 bus, 0 rail, 1 other",Somewhat Walkable,62,,82850279
11,55f6e8a63ae7404c5edef1ee,Alameda,37.760601,-122.241513,CA,2518 Encinal Ave,94501,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer",Craftsman,Unfinished,2.0,2,,,"Stucco, Vinyl",1101,Hardwood,,"Gas, Wood / Pellet",Forced air,4983,4,5,,Garage - Attached,Shake / Shingle,"Dining room, Family room",SingleFamily,City,1925,,,,"Nice split level Craftsman single family house, 
Nice Deck and big back yard, 
pellet burning fireplace insert,
conveniently located near to schools parks and shopping centers.
Full unfinished basement, 
Garage converted to bedroom""without permits""
Work shop shed 20'x40' in back yard
foundation has been bolted down and mud seal replaced
Roof is old and may need replacing in future
fences on both sides of the back yard need replacing

Neighborhood Description

In walking distance of schools from kindergarten, elementary, middle school and the historic Alameda High school
Jackson park is only a block away
Park street shopping district is just a few blocks away
and the beach is about a mile down the road",1,http://photos2.zillowstatic.com/p_d/IS-2hvh2wlrcpy5.jpg,http://www.zillow.com/homedetails/2518-Encinal-Ave-Alameda-CA-94501/24859169_zpid/,http://www.zillow.com/homedetails/2518-Encinal-Ave-Alameda-CA-94501/24859169_zpid/,http://www.zillow.com/homedetails/2518-Encinal-Ave-Alameda-CA-94501/24859169_zpid/#image=lightbox%3Dtrue,,east end Park street district,925,925,,,,,,,,,,,Some Transit,46,"9 nearby routes: 9 bus, 0 rail, 0 other",Walker's Paradise,91,"Great neighborhood 
Great place to raise children
off street parking in drive way",24859169
